osm_id,road_type,is_flooded,source_file,lon,lat
27370275,residential,True,chennai-flooded-streets-Dec2.geojson,80.22636830806732,12.976263289677988
27344675,residential,True,chennai-flooded-streets-Dec2.geojson,80.2124959230423,12.972274730261333
27370224,residential,True,chennai-flooded-streets-Dec2.geojson,80.21349370479584,12.974768240825824
244377265,residential,True,chennai-flooded-streets-Dec2.geojson,80.19169270992279,12.965345567048573
189488973,residential,True,chennai-flooded-streets-Dec2.geojson,80.22614300251007,12.908030784898912
189488973,residential,True,chennai-flooded-streets-Dec2.geojson,80.22805541753769,12.904020218178118
206640710,service,True,chennai-flooded-streets-Dec2.geojson,80.2449882030487,12.99162099813249
198142097,residential,True,chennai-flooded-streets-Dec2.geojson,80.21850943565369,12.969404809801063
27319930,tertiary,True,chennai-flooded-streets-Dec2.geojson,80.22233963012695,12.968202465341093
25562107,tertiary,True,chennai-flooded-streets-Dec2.geojson,80.17805099487305,12.97818958936898
208359677,primary,True,chennai-flooded-streets-Dec2.geojson,80.21794885396957,12.968780114165526
209549881,primary,True,chennai-flooded-streets-Dec2.geojson,80.21892249584198,12.970790112517804
209549878,primary,True,chennai-flooded-streets-Dec2.geojson,80.21892249584198,12.970790112517804
198549765,primary_link,True,chennai-flooded-streets-Dec2.geojson,80.21761894226074,12.967230130354551
108328797,primary,True,chennai-flooded-streets-Dec2.geojson,80.21151155233383,12.972609290782898
30598636,primary,True,chennai-flooded-streets-Dec2.geojson,80.2170529961586,12.96618460462426
244466152,primary,True,chennai-flooded-streets-Dec2.geojson,80.21613836288452,12.96402558009008
206634197,residential,True,chennai-flooded-streets-Dec2.geojson,80.21573066711426,12.963667483410944
27344670,residential,True,chennai-flooded-streets-Dec2.geojson,80.21783083677292,12.969352534075796
25562107,tertiary,True,chennai-flooded-streets-Dec2.geojson,80.18095314502716,12.972609290782898
27320194,residential,True,chennai-flooded-streets-Dec2.geojson,80.21301090717316,12.972609290782898
27319924,unclassified,True,chennai-flooded-streets-Dec2.geojson,80.2187991142273,12.970152351470588
27319925,residential,True,chennai-flooded-streets-Dec2.geojson,80.21977812051773,12.970288267896436
27319921,residential,True,chennai-flooded-streets-Dec2.geojson,80.2187642455101,12.970845001711837
28571970,residential,True,chennai-flooded-streets-Dec2.geojson,80.21803468465805,12.971354686506658
108148363,residential,True,chennai-flooded-streets-Dec2.geojson,80.21903783082962,12.972227682651905
108148361,residential,True,chennai-flooded-streets-Dec2.geojson,80.21936506032944,12.972115291104444
108148362,residential,True,chennai-flooded-streets-Dec2.geojson,80.21917462348938,12.972201545087259
27319922,residential,True,chennai-flooded-streets-Dec2.geojson,80.21799445152283,12.970996600375301
28571969,residential,True,chennai-flooded-streets-Dec2.geojson,80.21760821342468,12.971835618893834
30598646,residential,True,chennai-flooded-streets-Dec2.geojson,80.21702617406845,12.971142971410998
28571976,residential,True,chennai-flooded-streets-Dec2.geojson,80.21710932254791,12.972298254062721
28571971,residential,True,chennai-flooded-streets-Dec2.geojson,80.21818488836288,12.9726720208306
30598646,residential,True,chennai-flooded-streets-Dec2.geojson,80.2171066403389,12.972274730261333
30598645,residential,True,chennai-flooded-streets-Dec2.geojson,80.21720051765442,12.97319477061275
209549882,primary,False,chennai-flooded-streets-Dec2.geojson,80.21902710199356,12.97127627352927
27319920,residential,False,chennai-flooded-streets-Dec2.geojson,80.21810442209244,12.972274730261333
